v8-version,6,1,534,48,0
code-creation,Stub,3,211990,0x65f6d938a0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,211992,0x65f6d93a00,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,211994,0x65f6d93b60,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,211996,0x65f6d93ca0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,211999,0x65f6d93de0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,212001,0x65f6d93f20,121,"Abort"
code-creation,Stub,3,212003,0x65f6d93fa0,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,212006,0x65f6d941a0,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,212008,0x65f6d94380,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,212010,0x65f6d94560,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,212013,0x65f6d94720,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,212015,0x65f6d948e0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,212017,0x65f6d94a20,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,212020,0x65f6d94be0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,212022,0x65f6d94ce0,249,"CallBoundFunction"
code-creation,Builtin,5,212025,0x65f6d94de0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,212027,0x65f6d94f60,2304,"RecordWriteStub"
code-creation,Stub,3,212029,0x65f6d95860,2288,"RecordWriteStub"
code-creation,Stub,3,212032,0x65f6d96160,2262,"RecordWriteStub"
code-creation,Stub,3,212034,0x65f6d96a40,2300,"RecordWriteStub"
code-creation,Handler,4,212036,0x65f6d97340,256,"An IC handler from the snapshot"
code-creation,Stub,3,212038,0x65f6d97440,2299,"RecordWriteStub"
code-creation,Stub,3,212041,0x65f6d97d40,978,"RecordWriteStub"
code-creation,Stub,3,212043,0x65f6d98120,2258,"RecordWriteStub"
code-creation,Stub,3,212045,0x65f6d98a00,2262,"RecordWriteStub"
code-creation,Stub,3,212048,0x65f6d992e0,189,"DoubleToIStub"
code-creation,Stub,3,212058,0x65f6d993a0,2278,"RecordWriteStub"
code-creation,Handler,4,212062,0x65f6d99ca0,308,"An IC handler from the snapshot"
code-creation,Stub,3,212064,0x65f6d99de0,2300,"RecordWriteStub"
code-creation,Stub,3,212066,0x65f6d9a6e0,2261,"RecordWriteStub"
code-creation,Stub,3,212069,0x65f6d9afc0,2261,"RecordWriteStub"
code-creation,Stub,3,212071,0x65f6d9b8a0,1420,"RecordWriteStub"
code-creation,Stub,3,212073,0x65f6d9be40,2334,"RecordWriteStub"
code-creation,Stub,3,212076,0x65f6d9c760,982,"RecordWriteStub"
code-creation,Stub,3,212078,0x65f6d9cb40,2292,"RecordWriteStub"
code-creation,Stub,3,212080,0x65f6d9d440,2262,"RecordWriteStub"
